Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Florida Panthers,Aaron Ekblad\ekblaaa01,CA,D,18,2019,BARRIE (OHL),317,53,83,136,16,204,,,,,,
2,Buffalo Sabres,Sam Reinhart\reinhsa01,CA,C,18,2019,KOOTENAY (WHL),259,66,80,146,-48,46,,,,,,
3,Edmonton Oilers,Leon Draisaitl\draisle01,DE,C,18,2019,PRINCE ALBERT (WHL),277,79,136,215,-24,74,,,,,,
4,Calgary Flames,Samuel Bennett\bennesa01,CA,C,18,2019,KINGSTON (OHL),251,44,48,92,-45,179,,,,,,
5,New York Islanders,Michael Dal Colle\dalcomi01,CA,LW,18,2018,OSHAWA (OHL),4,0,0,0,0,0,,,,,,
6,Vancouver Canucks,Jake Virtanen\virtaja01,CA,RW,18,2019,CALGARY (WHL),151,19,19,38,-15,103,,,,,,
7,Carolina Hurricanes,Haydn Fleury\fleurha01,CA,D,18,2019,RED DEER (WHL),68,0,8,8,0,14,,,,,,
8,Toronto Maple Leafs,William Nylander\nylanwi01,CA,C/RW,18,2018,MODO (Sweden),185,48,87,135,18,46,,,,,,
9,Winnipeg Jets,Nikolaj Ehlers\ehlerni01,DK,LW,18,2019,HALIFAX (QMJHL),246,70,96,166,12,92,,,,,,
10,Anaheim Ducks,Nicholas Ritchie\ritchni01,CA,LW,18,2019,PETERBOROUGH (OHL),188,26,34,60,6,173,,,,,,
11,Nashville Predators,Kevin Fiala\fialake01,CH,LW,18,2019,HV 71 JR. (Sweden-Jr.),150,36,32,68,17,50,,,,,,
12,Arizona Coyotes,Brendan Perlini\perlibr01,GB,LW,18,2019,NIAGARA (OHL),140,32,21,53,-6,50,,,,,,
13,Washington Capitals,Jakub Vrana\vranaja01,CZ,L/RW,18,2019,LINKOPING (Sweden),103,18,19,37,9,26,,,,,,
14,Dallas Stars,Julius Honka\honkaju01,FI,D,18,2019,SWIFT CURRENT (WHL),64,2,8,10,-5,24,,,,,,
15,Detroit Red Wings,Dylan Larkin\larkidy01,US,C,18,2019,USA U-18 (USHL),251,60,87,147,-33,140,,,,,,
16,Columbus Blue Jackets,Sonny Milano\milanso01,US,LW,18,2019,USA U-18 (USHL),70,15,9,24,-10,10,,,,,,
17,Philadelphia Flyers,Travis Sanheim\sanhetr01,CA,D,18,2019,CALGARY (WHL),59,2,13,15,-5,24,,,,,,
18,Minnesota Wild,Alex Tuch\tuchal01,US,RW,18,2019,USA U-18 (USHL),85,15,22,37,0,27,,,,,,
19,Tampa Bay Lightning,Anthony Deangelo\deangan01,US,D,18,2019,SARNIA (OHL),73,5,19,24,-30,54,,,,,,
20,Chicago Blackhawks,Nick Schmaltz\schmani01,US,C,18,2019,GREEN BAY (USHL),149,28,59,87,10,30,,,,,,
21,St. Louis Blues,Robert Fabbri\fabbrro01,CA,C,18,2017,GUELPH (OHL),123,29,37,66,-18,52,,,,,,
22,Pittsburgh Penguins,Kasperi Kapanen\kapanka01,FI,RW,18,2019,KALPA (Finland),65,13,6,19,-1,8,,,,,,
23,Colorado Avalanche,Conner Bleackley\bleacco01,CA,C,18,,RED DEER (WHL),,,,,,,,,,,,
24,Vancouver Canucks,Jared McCann\mccanja01,CA,C,18,2019,SAULT STE. MARIE (OHL),174,20,36,56,2,66,,,,,,
25,Boston Bruins,David Pastrnak\pastrda01,CZ,RW,18,2019,SODERTALJE (Sweden-2),264,104,114,218,44,101,,,,,,
26,Montreal Canadiens,Nikita Scherbak\scherni01,RU,RW,18,2018,SASKATOON (WHL),29,5,2,7,-4,8,,,,,,
27,San Jose Sharks,Nikolay Goldobin\goldoni01,RU,RW,18,2019,SARNIA (OHL),72,13,9,22,-15,12,,,,,,
28,New York Islanders,Joshua Ho-Sang\hosanjo01,CA,C/RW,18,2018,WINDSOR (OHL),43,6,16,22,-6,14,,,,,,
29,Los Angeles Kings,Adrian Kempe\kempead01,SE,LW,18,2019,MODO (Sweden),116,19,25,44,6,71,,,,,,
30,New Jersey Devils,John Quenneville\quennjo02,CA,C,18,2019,BRANDON (WHL),19,1,3,4,0,2,,,,,,
31,Buffalo Sabres,Brendan Lemieux\lemiebr01,US,LW,18,2019,BARRIE (OHL),14,1,0,1,2,31,,,,,,
32,Florida Panthers,Jayce Hawryluk\hawryja01,CA,C,18,,BRANDON (WHL),,,,,,,,,,,,
33,St. Louis Blues,Ivan Barbashev\barbaiv01,RU,C/LW,18,2019,MONCTON (QMJHL),92,13,15,28,2,6,,,,,,
34,Calgary Flames,Mason McDonald\mcdonma01,CA,G,18,,CHARLOTTETOWN (QMJHL),,,,,,,,,,,,
35,Tampa Bay Lightning,Dominik Masin\masindo01,CZ,D,18,,SLAVIA JR. (Czech),,,,,,,,,,,,
36,Vancouver Canucks,Thatcher Demko\demkoth01,US,G,18,2018,BOSTON COLLEGE (H-East),1,0,0,0,0,0,1,1,0,0,.867,3.91
37,Carolina Hurricanes,Alex Nedeljkovic\nedelal01,US,G,18,2017,PLYMOUTH (OHL),1,0,0,0,0,2,1,0,0,0,1.000,0.00
38,Anaheim Ducks,Marcus Pettersson\pettema01,SE,D,18,2019,SKELLEFTEA JR. (Sweden-Jr.),33,1,4,5,5,15,,,,,,
39,Washington Capitals,Vitek Vanecek\vanecvi01,CZ,G,18,,LIBEREC JR. (Czech),,,,,,,,,,,,
40,Ottawa Senators,Andreas Englund\engluan01,SE,D,18,2018,DJURGARDEN (Sweden-2),6,0,0,0,-2,2,,,,,,
41,New Jersey Devils,Joshua Jacobs\jacobjo01,US,D,18,,INDIANA (USHL),,,,,,,,,,,,
42,Nashville Predators,Vladislav Kamenev\kamenvl01,RU,LW,18,2019,MAGNITOGORSK 2 (Russia-Jr.),10,0,0,0,-2,4,,,,,,
43,Arizona Coyotes,Ryan MacInnis\macinry01,US,C,18,,KITCHENER (OHL),,,,,,,,,,,,
44,Buffalo Sabres,Eric Cornel\corneer01,CA,C,18,,PETERBOROUGH (OHL),,,,,,,,,,,,
45,Dallas Stars,Brett Pollock\pollobr01,CA,LW,18,,EDMONTON (WHL),,,,,,,,,,,,
46,San Jose Sharks,Julius Bergman\bergmju01,SE,D,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
47,Columbus Blue Jackets,Ryan Collins\colliry01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
48,Philadelphia Flyers,Nicolas Aube-Kubel\aubekni01,CA,RW,18,,VAL-D'OR (QMJHL),,,,,,,,,,,,
49,Buffalo Sabres,Vaclav Karabacek\karabva01,CZ,RW,18,,GATINEAU (QMJHL),,,,,,,,,,,,
50,Los Angeles Kings,Roland McKeown\mckeoro01,CA,D,18,2018,KINGSTON (OHL),10,0,3,3,3,19,,,,,,
51,Nashville Predators,Jack Dougherty\doughja01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
52,St. Louis Blues,Maxim Letunov\letunma01,RU,C,18,,YOUNGSTOWN (USHL),,,,,,,,,,,,
53,San Jose Sharks,Noah Rod\rodno01,CH,RW,18,,GENEVE JR. (SWISS-JR.),,,,,,,,,,,,
54,Calgary Flames,Hunter Smith\smithhu01,CA,RW,19,,OSHAWA (OHL),,,,,,,,,,,,
55,Anaheim Ducks,Brandon Montour\montobr01,CA,D,20,2019,WATERLOO (USHL),118,12,29,41,24,64,,,,,,
56,Boston Bruins,Ryan Donato\donatry01,US,C,18,2019,Dexter School (High-MA),21,6,4,10,-1,4,,,,,,
57,Tampa Bay Lightning,Johnathan McLeod\maclejo02,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
58,Arizona Coyotes,Christian Dvorak\dvorach01,US,LW,18,2018,LONDON (OHL),156,30,40,70,-12,44,,,,,,
59,New York Rangers,Brandon Halverson\halvebr01,US,G,18,2018,SAULT STE. MARIE (OHL),1,0,0,0,0,0,1,0,0,0,.833,4.78
60,Los Angeles Kings,Alex Lintuniemi\lintual01,FI,D,18,,OTTAWA (OHL),,,,,,,,,,,,
61,Buffalo Sabres,Jonas Johansson\johanjo03,SE,G,18,,BRYNAS JR. (Sweden-Jr.),,,,,,,,,,,,
62,Nashville Predators,Justin Kirkland\kirklju01,CA,LW,18,,KELOWNA (WHL),,,,,,,,,,,,
63,Detroit Red Wings,Dominic Turgeon\turgedo01,CA,C,18,2018,PORTLAND (WHL),5,0,0,0,-2,2,,,,,,
64,Calgary Flames,Brandon Hickey\hickebr01,CA,D,18,,SPRUCE GROVE (AJHL),,,,,,,,,,,,
65,Florida Panthers,Juho Lammikko\lammiju01,FI,RW,18,2019,ASSAT JR. (Finland-Jr.),7,0,0,0,-2,0,,,,,,
66,Vancouver Canucks,Nikita Tryamkin\tryamni01,RU,D,20,2017,YEKATERINBURG (Russia),79,3,8,11,-10,74,,,,,,
67,Carolina Hurricanes,Warren Foegele\foegewa01,CA,LW,18,2019,ST. ANDREWS (HIGH-ON),11,5,3,8,2,4,,,,,,
68,Toronto Maple Leafs,Rinat Valiev\valieri01,RU,D,19,2018,KOOTENAY (WHL),12,0,0,0,0,2,,,,,,
69,Winnipeg Jets,Jack Glover\gloveja01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
70,Ottawa Senators,Miles Gendron\gendrmi01,US,D,18,,RIVERS ACADEMY (High-MA),,,,,,,,,,,,
71,New Jersey Devils,Connor Chatham\chathco01,US,RW,18,,PLYMOUTH (OHL),,,,,,,,,,,,
72,San Jose Sharks,Alex Schoenborn\schoeal01,US,RW,18,,PORTLAND (WHL),,,,,,,,,,,,
73,Montreal Canadiens,Brett Lernout\lernobr01,CA,D,18,2018,SWIFT CURRENT (WHL),21,0,1,1,-6,6,,,,,,
74,Buffalo Sabres,Brycen Martin\martibr01,CA,D,18,,SWIFT CURRENT (WHL),,,,,,,,,,,,
75,Dallas Stars,Alexander Peters\peteral01,CA,D,18,,PLYMOUTH (OHL),,,,,,,,,,,,
76,Columbus Blue Jackets,Elvis Merzlikins\merzlel01,LV,G,20,,LUGANO (Swiss),,,,,,,,,,,,
77,Columbus Blue Jackets,Blake Siebenaler\siebebl01,US,D,18,,NIAGARA (OHL),,,,,,,,,,,,
78,New York Islanders,Ilya Sorokin\sorokil01,RU,G,19,,NOVOKUZNETSK (Russia),,,,,,,,,,,,
79,Tampa Bay Lightning,Brayden Point\pointbr01,CA,C,18,2019,MOOSE JAW (WHL),158,55,59,114,26,44,,,,,,
80,Minnesota Wild,Louis Belpedio\belpelo01,US,D,18,2018,USA U-18 (USHL),1,0,2,2,1,0,,,,,,
81,San Jose Sharks,Dylan Sadowy\sadowdy01,CA,LW,18,,SAGINAW (OHL),,,,,,,,,,,,
82,St. Louis Blues,Jake Walman\walmaja01,CA,D,18,,TORONTO JC (OJHL),,,,,,,,,,,,
83,Chicago Blackhawks,Matheson Iacopelli\iacopma01,US,RW,20,,MUSKEGON (USHL),,,,,,,,,,,,
84,Colorado Avalanche,Kyle Wood\woodky01,CA,D,18,,NORTH BAY (OHL),,,,,,,,,,,,
85,New York Rangers,Keegan Iverson\iverske01,US,C/RW,18,,PORTLAND (WHL),,,,,,,,,,,,
86,Philadelphia Flyers,Mark Friedman\friedma01,CA,D,18,,WATERLOO (USHL),,,,,,,,,,,,
87,Arizona Coyotes,Anton Karlsson\karlsan02,SE,RW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
88,Chicago Blackhawks,Beau Starrett\starrbe01,US,C/LW,18,,SOUTH SHORE (USPHL),,,,,,,,,,,,
89,Washington Capitals,Nathan Walker\walkena01,GB,LW,20,2019,Hershey (AHL),12,1,1,2,1,8,,,,,,
90,Los Angeles Kings,Michael Amadio\amadimi01,CA,C,18,2019,NORTH BAY (OHL),46,5,4,9,-7,10,,,,,,
91,Edmonton Oilers,William Lagesson\lageswi01,SE,D,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
92,Florida Panthers,Joe Wegwerth\wegwejo01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,
