name,nat,dob,bp,ateam,league,year,dteam,overall,removed,why,height,weight,pos,shoots
Ken Magowan,CAN,1981-07-22,"Kelowna, BC  CAN",Vernon,BCHL,2000-01-01,1,198,N,,74.0,207.0,LW,L
Brian Passmore,CAN,1980-04-27,"Mississauga, ON  CAN",Oshawa,OHL,2000-01-01,30,199,N,,71.0,180.0,C,L
Janne Jokila,FIN,1982-04-22,"Turku, Finland",Tps Jr.,FINLAND,2000-01-01,29,200,N,,69.0,169.0,LW,L
Evgeny Federov,RUS,1980-11-11,"Nizhny Tagil, Russia",Molot Perm,Russia,2000-01-01,26,201,N,,69.0,172.0,C,L
Ryan Caldwell,CAN,1981-06-15,"Deloraine, MB  CAN",Thunder Bay,UHL,2000-01-01,2,202,N,,74.0,174.0,D,L
Jure Penko,SVN,1981-04-06,"Ljubljana, Slovenia",Green Bay,USHL,2000-01-01,18,203,N,,73.0,185.0,G,L
Chris Berti,CAN,1981-10-06,"Scarborough, ON  CAN",Sarnia,OHL,2000-01-01,6,204,N,,76.0,206.0,C,L
Henrik Lundqvist,SWE,1982-03-02,"Are, Sweden",Frolunda,Sweden,2000-01-01,3,205,N,,73.0,195.0,G,L
Tim Eriksson,SWE,1982-02-05,"Sodertalje, Sweden",Frolunda,Sweden,2000-01-01,26,206,N,,69.0,161.0,C,L
Cliff Loya,USA,1981-05-08,"Pittsburgh, PA  USA",U. Of Maine,NCAA,2000-01-01,16,207,N,,74.0,200.0,D,L
Brandon Reid,CAN,1981-03-09,"Kirkland, QC  CAN",Halifax,MARJRA,2000-01-01,23,208,N,,69.0,180.0,C,R
Markus Seikola,FIN,1982-06-05,"Laitila, Finland",Tps Jr.,FINLAND,2000-01-01,10,209,N,,73.0,194.0,D,R
John Eichelberger,USA,1981-02-23,"Atlanta, GA  USA",Green Bay,USHL,2000-01-01,4,210,N,,73.0,182.0,C,L
Joe Cullen,USA,1981-02-14,"Virginia, MN  USA",Colorado College,WCHA,2000-01-01,22,211,N,,73.0,190.0,C,L
Magnus Kahnberg,SWE,1980-02-25,"Mölndal, Sweden",Frolunda,Sweden,2000-01-01,12,212,N,,74.0,174.0,C,L
Vasily Bizyayev,RUS,1982-06-06,"Moscow, Russia",Cska 2,Russia,2000-01-01,7,213,N,,73.0,185.0,LW,L
Peter Bartos,SVK,1973-09-05,"Martin, Slovakia",Budejovice,CZE,2000-01-01,30,214,N,,72.0,185.0,C,L
Matthew Lombardi,CAN,1982-03-18,"Montreal, QC  CAN",Victoriaville,QMJHL,2000-01-01,22,215,Y,Unsigned,71.0,195.0,C,L
Jim Abbott,USA,1980-05-03,"Mars, PA  USA",U. Of New Hampshire,NCAA,2000-01-01,5,216,N,,73.0,185.0,LW,L
Igor Samoilov,RUS,1982-01-23,"Moscow, Russia",Yaroslavl,Russia,2000-01-01,27,217,N,,71.0,195.0,D,L
Craig Olynick,CAN,1982-08-21,"Saskatoon, SK  CAN",Seattle,WHL,2000-01-01,26,218,N,,73.0,185.0,D,R
Marco Tuokko,FIN,1979-03-27,"Turku, Finland",Tps,FINLAND,2000-01-01,25,219,N,,73.0,172.0,C,L
Paul Gaustad,USA,1982-02-03,"Fargo, ND  USA",Portland,WHL,2000-01-01,7,220,N,,77.0,212.0,C,L
Aaron Molnar,CAN,1981-10-08,"London, ON  CAN",London,EHLGB,2000-01-01,21,221,N,,72.0,165.0,G,L
Marek Priechodsky,SVK,1979-10-24,"Bratislava, Slovakia",Bratislava,SVK,2000-01-01,14,222,N,,74.0,194.0,D,L
Lubos Velebny,SVK,1982-02-09,"Zvolen, Slovakia",Zvolen Jr.,Slovakia,2000-01-01,10,223,N,,74.0,189.0,D,L
Antti Miettinen,FIN,1980-07-03,"Hämeenlinna, Finland",Hameenlinna,Finland,2000-01-01,25,224,N,,72.0,190.0,C,L
Vladislav Luchkin,RUS,1982-02-03,"Cherepovets, Russia",Cherepovets 2,RUSSIA-3,2000-01-01,16,225,N,,73.0,185.0,C,L
Brian Eklund,USA,1980-05-24,"Braintree, MA  USA",Brown U.,ECAC,2000-01-01,14,226,N,,76.0,211.0,G,L
Guillaume Lefebvre,CAN,1981-05-07,"Amos, QC  CAN",Rouyn-Noranda,QMJHL,2000-01-01,4,227,N,,73.0,200.0,C,L
Jimmie Svensson,SWE,1982-02-25,"Karlskrona, Sweden",Vasteras Ik Jr.,,2000-01-01,17,228,N,,72.0,190.0,C,L
Brett Lutes,CAN,1982-02-02,"Riverview, NB  CAN",Montreal,EXHIB,2000-01-01,19,229,N,,73.0,182.0,LW,L
Samu Isosalo,FIN,1981-10-10,"Rauma, Finland",North Bay,OHL,2000-01-01,11,230,N,,75.0,205.0,RW,L
Peter Zingoni,USA,1981-04-28,"Bridgeport, CT  USA",New England,EJHL,2000-01-01,29,231,N,,72.0,180.0,C,L
Lubomir Sekeras,SVK,1968-11-18,"Trencin, Slovakia",Trinec,CZE,2000-01-01,30,232,N,,72.0,183.0,D,L
Alexander Polukeyev,RUS,1981-01-07,"St. Petersburg, Russia",Ska,Russia,2000-01-01,14,233,N,,75.0,185.0,G,L
Janis Sprukts,LVA,1982-01-31,"Riga, Latvia",Lukko Rauma Jr.,,2000-01-01,13,234,N,,75.0,235.0,C,L
Craig Kowalski,USA,1981-01-15,"Warren, MI  USA",Compuware,NAHL,2000-01-01,12,235,N,,71.0,200.0,G,L
Mats Christeen,SWE,1982-02-13,"Södertälje, Sweden",Sodertalje Jr.,SWEDEN-JR.,2000-01-01,18,236,N,,73.0,183.0,D,L
Zdenek Kutlak,CZE,1980-02-13,"Ceske Budejovice, Czech Republic",Budejovice,CZE,2000-01-01,6,237,N,,75.0,210.0,D,L
Dan Eberly,USA,1980-10-28,"Newton, MA  USA",Rensselaer,ECAC,2000-01-01,3,238,N,,72.0,180.0,D,L
David Hajek,CZE,1980-06-13,"Chomutov, Czech Republic",Chomutov,CZECH,2000-01-01,20,239,N,,75.0,194.0,D,L
Michael Danton,CAN,1980-10-21,"Brampton, ON  CAN",Barrie,OHL,2000-01-01,1,135,N,,69.0,191.0,C,R
Dimitri Upper,KAZ,1978-07-27,"Dmitrievka, Kazakhstan",Nizhny Novgorod,,2000-01-01,2,136,N,,73.0,176.0,C,R
Mike Stuart,USA,1980-08-31,"Chicago, IL  USA",Colorado College,WCHA,2000-01-01,18,137,N,,72.0,195.0,D,R
Scott Heffernan,CAN,1982-03-09,"Kanata, QC  CAN",Sarnia,OHL,2000-01-01,29,138,N,,77.0,187.0,D,L
Ruslan Bernikov,RUS,1977-12-04,"Domodedovo, Russia",Amur Khabarovsk,,2000-01-01,25,139,N,,75.0,198.0,RW,L
Nathan Martz,CAN,1981-03-04,"Chilliwack, BC  CAN",Chilliwack,BCJHL,2000-01-01,3,140,N,,72.0,169.0,C,L
Wade Davis,CAN,1982-04-13,"Kamloops, BC  CAN",Calgary,WHL,2000-01-01,20,141,N,,76.0,185.0,D,R
Michael Pinc,CZE,1981-12-02,"Most, Czech Republic",Rouyn-Noranda,QMJHL,2000-01-01,28,142,N,,71.0,180.0,C,R
Brandon Snee,USA,1980-06-10,"Philadelphia, PA  USA",Union College,ECAC,2000-01-01,3,143,N,,73.0,195.0,G,L
Pavel Duma,RUS,1981-06-20,"Karaganda, Russia",Neftechimik,Russia,2000-01-01,23,144,N,,74.0,183.0,C,L
Ryan Glenn,CAN,1980-06-07,"New Westminster, BC  CAN",Walpole,USHSE,2000-01-01,8,145,N,,73.0,210.0,D,L
David Koci,CZE,1981-05-12,"Prague, Czech Republic",Sparta Praha Jr.,,2000-01-01,5,146,N,,78.0,238.0,D,L
Matt Mcrae,CAN,1981-04-29,"Toronto, ON  CAN",Cornell U.,NCAA,2000-01-01,11,147,N,,72.0,180.0,C,R
Kristofer Ottosson,SWE,1976-01-09,"Stockholm, Sweden",Djurgarden,SWEDEN,2000-01-01,2,148,N,,72.0,187.0,C,L
Denis Denisov,RUS,1981-12-31,"Moscow, Russia",Hc Moscow,Russia,2000-01-01,7,149,N,,72.0,183.0,LW,L
Tyler Kolarik,USA,1981-01-26,"Abington, PA  USA",Deerfield Academy,HIGH-MA,2000-01-01,29,150,N,,70.0,190.0,C,R
Alexander Barkunov,RUS,1981-05-13,"Yaroslavl, Russia",Yaroslavl 2,RUSSIA-3,2000-01-01,16,151,N,,72.0,180.0,D,R
Paul Flache,CAN,1982-03-04,"Toronto, ON  CAN",Brampton,OHL,2000-01-01,22,152,Y,Unsigned,77.0,220.0,D,R
Bill Cass,USA,1980-09-30,"Boston, MA  USA",Boston College,H-EAST,2000-01-01,24,153,N,,71.0,217.0,D,L
Matt Koalska,USA,1980-05-16,"St. Paul, MN  USA",Twin Cities,,2000-01-01,18,154,N,,72.0,205.0,C,L
Travis Moen,CAN,1982-04-06,"Stewart Valley, SK  CAN",Kelowna,WHL,2000-01-01,20,155,N,,74.0,215.0,LW,L
Greg Zanon,CAN,1980-06-05,"Burnaby, BC  CAN",U. Of Nebraska-Omaha,CCHA,2000-01-01,9,156,N,,71.0,201.0,D,L
Grant Potulny,USA,1980-03-04,"Grand Forks, ND  USA",Lincoln,USHSE,2000-01-01,9,157,N,,74.0,194.0,C,L
Sean Connolly,USA,1980-10-08,"Dearborn, MI  USA",Northern Michigan U.,CCHA,2000-01-01,9,158,N,,73.0,187.0,D,R
John-Michael Liles,USA,1980-11-25,"Indianapolis, IN  USA",Michigan State U.,NCAA,2000-01-01,21,159,N,,70.0,185.0,D,L
Nate Kiser,USA,1982-05-04,"Riverview, MI  USA",Plymouth,OHL,2000-01-01,27,160,N,,73.0,190.0,D,R
Pavel Sedov,RUS,1982-01-12,"Voskresensk, Russia",Voskresensk,,2000-01-01,14,161,N,,75.0,200.0,RW,L
Artem Chernov,RUS,1982-04-28,"Novokuznetsk, Russia",Novokuznetsk,KHL,2000-01-01,25,162,N,,71.0,176.0,C,L
Ivan Nepryayev,RUS,1982-02-04,"Yaroslavl, Russia",Yaroslavl 2,RUSSIA-3,2000-01-01,15,163,N,,74.0,195.0,C,L
Matus Kostur,SVK,1980-03-28,"Banská Bystrica, Slovakia",Banska Bystrica,Slovakia,2000-01-01,1,164,N,,72.0,183.0,G,L
Nathan Marsters,CAN,1980-01-28,"Grimsby, ON  CAN",Chilliwack,BCJHL,2000-01-01,26,165,N,,76.0,190.0,G,L
Nolan Schaefer,CAN,1980-01-15,"Yellow, SK  CAN",Providence College,NCAA,2000-01-01,28,166,N,,74.0,200.0,G,R
Craig Weller,CAN,1981-03-17,"Calgary, AB  CAN",Calgary Canucks,AJHL,2000-01-01,19,167,N,,76.0,220.0,D,R
Zdenek Smid,CZE,1980-02-03,"Plzen, Czech Republic",Karlovy Vary,CZE,2000-01-01,11,168,N,,70.0,172.0,G,L
Shane Bendera,CAN,1982-07-13,"St. Albert, AB  CAN",Red Deer,WHL,2000-01-01,29,169,N,,71.0,170.0,G,L
Erik Reitz,USA,1982-07-29,"Detroit, MI  USA",Barrie,OHL,2000-01-01,30,170,N,,73.0,222.0,D,R
Roman Cechmanek,CZE,1971-03-02,"Gottwaldov, Czech Republic",Vsetin,CZE,2000-01-01,4,171,N,,75.0,211.0,G,L
