,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,year,num_teams,round_ratio,round,1st_round,gpg,apg,ppg,name,alias,league
0,1,New York Islanders,John Tavares\tavarjo01,CA,C,18.0,2019.0,London (OHL),679.0,279.0,354.0,633.0,-39.0,311.0,,,,,,,2009,30,0.0,1,True,0.4108983799705449,0.5213549337260678,0.9322533136966127,John Tavares,tavarjo01,OHL
1,2,Tampa Bay Lightning,Victor Hedman\hedmavi01,SE,D,18.0,2019.0,MoDo Ornskoldsvik ( ),634.0,84.0,284.0,368.0,63.0,491.0,,,,,,,2009,30,0.03333333333333333,1,True,0.13249211356466878,0.4479495268138801,0.580441640378549,Victor Hedman,hedmavi01, 
2,3,Colorado Avalanche,Matt Duchene\duchema01,CA,C,18.0,2019.0,Brampton (OHL),662.0,202.0,283.0,485.0,-85.0,158.0,,,,,,,2009,30,0.06666666666666667,1,True,0.30513595166163143,0.42749244712990936,0.7326283987915407,Matt Duchene,duchema01,OHL
3,4,Atlanta Thrashers,Evander Kane\kaneev01,CA,LW,18.0,2019.0,Vancouver (WCHL),583.0,190.0,173.0,363.0,-48.0,696.0,,,,,,,2009,30,0.1,1,True,0.3259005145797599,0.2967409948542024,0.6226415094339622,Evander Kane,kaneev01,WCHL
4,5,Los Angeles Kings,Brayden Schenn\schenbr01,CA,C,18.0,2019.0,Brandon (WHL),524.0,140.0,185.0,325.0,-24.0,281.0,,,,,,,2009,30,0.13333333333333333,1,True,0.26717557251908397,0.3530534351145038,0.6202290076335878,Brayden Schenn,schenbr01,WHL
5,6,Phoenix Coyotes,Oliver Ekman-Larsson\ekmanol01,SE,D,18.0,2019.0,Leksand (Sweden-2),585.0,102.0,193.0,295.0,-72.0,370.0,,,,,,,2009,30,0.16666666666666666,1,True,0.17435897435897435,0.3299145299145299,0.5042735042735043,Oliver Ekman-Larsson,ekmanol01,Sweden-2
6,7,Toronto Maple Leafs,Nazem Kadri\kadrina01,CA,C,18.0,2019.0,London (OHL),498.0,146.0,172.0,318.0,-31.0,348.0,,,,,,,2009,30,0.2,1,True,0.2931726907630522,0.3453815261044177,0.6385542168674698,Nazem Kadri,kadrina01,OHL
7,8,Dallas Stars,Scott Glennie\glennsc01,CA,RW,18.0,2012.0,Brandon (WHL),1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,2009,30,0.23333333333333334,1,True,0.0,0.0,0.0,Scott Glennie,glennsc01,WHL
8,9,Ottawa Senators,Jared Cowen\cowenja01,CA,D,18.0,2016.0,Spokane (WHL),249.0,15.0,31.0,46.0,-7.0,174.0,,,,,,,2009,30,0.26666666666666666,1,True,0.060240963855421686,0.12449799196787148,0.18473895582329317,Jared Cowen,cowenja01,WHL
9,10,Edmonton Oilers,Magnus Paajarvi\paajama01,SE,LW,18.0,2019.0,Timra ( ),395.0,51.0,54.0,105.0,-40.0,72.0,,,,,,,2009,30,0.3,1,True,0.1291139240506329,0.13670886075949368,0.26582278481012656,Magnus Paajarvi,paajama01, 
10,11,Nashville Predators,Ryan Ellis\ellisry01,CA,D,18.0,2019.0,Windsor (OHL),406.0,55.0,124.0,179.0,83.0,142.0,,,,,,,2009,30,0.3333333333333333,1,True,0.1354679802955665,0.3054187192118227,0.4408866995073892,Ryan Ellis,ellisry01,OHL
11,12,New York Islanders,Calvin de Haan\dehaaca01,CA,D,18.0,2019.0,Oshawa (OHL),313.0,12.0,70.0,82.0,30.0,126.0,,,,,,,2009,30,0.36666666666666664,1,True,0.038338658146964855,0.22364217252396165,0.26198083067092653,Calvin de Haan,dehaaca01,OHL
12,13,Buffalo Sabres,Zack Kassian\kassiza01,CA,RW,18.0,2019.0,Peterborough (OHL),392.0,52.0,65.0,117.0,-33.0,619.0,,,,,,,2009,30,0.4,1,True,0.1326530612244898,0.16581632653061223,0.29846938775510207,Zack Kassian,kassiza01,OHL
13,14,Florida Panthers,Dmitry Kulikov\kulikdm01,RU,D,18.0,2019.0,Drummondville (QMJHL),572.0,33.0,122.0,155.0,-58.0,350.0,,,,,,,2009,30,0.43333333333333335,1,True,0.057692307692307696,0.21328671328671328,0.270979020979021,Dmitry Kulikov,kulikdm01,QMJHL
14,15,Anaheim Ducks,Peter Holland\hollape01,CA,C,18.0,2018.0,Guelph (OHL),266.0,36.0,49.0,85.0,-38.0,112.0,,,,,,,2009,30,0.4666666666666667,1,True,0.13533834586466165,0.18421052631578946,0.31954887218045114,Peter Holland,hollape01,OHL
15,16,Minnesota Wild,Nick Leddy\leddyni01,US,D,18.0,2019.0,Eden Prairie (High-MN),586.0,56.0,202.0,258.0,-30.0,107.0,,,,,,,2009,30,0.5,1,True,0.09556313993174062,0.3447098976109215,0.4402730375426621,Nick Leddy,leddyni01,High-MN
